,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Datetime Recorded UTC
0,Laibin,CN,23.74,109.23,79.25,58,0.0,4.97,2019-10-21 03:39:32
1,Constitucion,MX,23.99,-104.67,66.2,88,0.9,8.05,2019-10-21 03:39:32
2,Pochutla,MX,15.74,-96.47,80.6,83,0.4,8.05,2019-10-21 03:39:33
3,Tolaga Bay,NZ,-38.37,178.3,64.5,46,0.0,12.48,2019-10-21 03:39:33
4,Port Elizabeth,US,39.31,-74.98,57.0,93,0.9,16.11,2019-10-21 03:39:33
5,Makakilo City,US,21.35,-158.09,84.2,74,0.75,8.05,2019-10-21 03:39:34
6,Mataura,NZ,-46.19,168.86,48.0,80,0.82,8.01,2019-10-21 03:39:34
7,Bredasdorp,ZA,-34.53,20.04,59.0,66,1.0,9.17,2019-10-21 03:39:34
8,Lebu,ET,8.96,38.73,48.41,81,0.0,3.15,2019-10-21 03:41:24
9,Saskylakh,RU,71.97,114.09,8.31,86,1.0,11.14,2019-10-21 03:41:25
10,Jamestown,AU,-33.21,138.6,83.15,16,0.35,1.77,2019-10-21 03:41:25
11,Hasaki,JP,35.73,140.83,68.0,72,0.75,13.87,2019-10-21 03:41:25
12,Albany,US,42.65,-73.75,48.0,87,0.75,0.98,2019-10-21 03:41:26
13,Ushuaia,AR,-54.81,-68.31,42.8,70,0.0,5.82,2019-10-21 03:41:26
14,Hobart,AU,-42.88,147.33,73.0,32,0.0,10.29,2019-10-21 03:41:26
15,East London,ZA,-33.02,27.91,62.6,77,0.0,5.82,2019-10-21 03:41:27
16,Nome,US,30.04,-94.42,82.99,88,0.01,9.17,2019-10-21 03:41:27
17,Krylovskaya,RU,46.32,39.96,54.0,61,0.0,9.04,2019-10-21 03:41:27
18,Paamiut,GL,61.99,-49.67,39.9,62,0.0,12.33,2019-10-21 03:41:28
19,Rio Grande,BR,-32.03,-52.1,57.05,80,1.0,5.17,2019-10-21 03:41:28
20,Kodiak,US,39.95,-94.76,59.0,87,0.01,16.11,2019-10-21 03:41:28
21,Busselton,AU,-33.64,115.35,77.0,40,0.0,7.07,2019-10-21 03:41:29
22,New Norfolk,AU,-42.78,147.06,73.0,32,0.0,10.29,2019-10-21 03:41:29
23,Marystown,CA,47.17,-55.16,46.0,2,0.26,1.99,2019-10-21 03:41:29
24,Chikitigarh,IN,19.2,84.62,79.21,80,0.99,1.23,2019-10-21 03:41:29
25,Sao Paulo de Olivenca,BR,-3.38,-68.87,72.62,99,1.0,3.02,2019-10-21 03:41:30
26,Poyarkovo,RU,49.62,128.65,45.53,34,0.0,21.21,2019-10-21 03:41:30
27,Northam,AU,-31.65,116.67,71.6,53,0.2,5.82,2019-10-21 03:41:30
28,Labuhan,ID,-2.54,115.51,94.29,45,0.97,2.33,2019-10-21 03:41:31
29,Cape Town,ZA,-33.93,18.42,57.0,71,0.4,1.12,2019-10-21 03:41:31
30,Cabo San Lucas,MX,22.89,-109.91,79.0,83,0.05,9.17,2019-10-21 03:41:31
31,Provideniya,RU,64.42,-173.23,33.8,69,0.9,15.66,2019-10-21 03:41:32
32,Mgandu,TZ,-5.96,34.11,61.44,89,0.31,8.63,2019-10-21 03:41:32
33,Vardo,US,39.62,-77.74,54.0,81,0.9,5.82,2019-10-21 03:41:32
34,Punta Arenas,CL,-53.16,-70.91,41.0,75,0.0,17.22,2019-10-21 03:41:32
35,Victoria,BN,5.28,115.24,91.4,55,0.75,6.93,2019-10-21 03:41:33
36,Belyy Yar,RU,53.6,91.39,26.6,63,0.4,6.71,2019-10-21 03:41:33
37,Xining,CN,36.62,101.77,41.14,60,0.67,4.38,2019-10-21 03:41:33
38,Yumen,CN,40.29,97.04,53.69,15,0.0,6.76,2019-10-21 03:41:34
39,Butaritari,KI,3.07,172.79,85.35,67,0.46,10.4,2019-10-21 03:41:34
40,Kaitangata,NZ,-46.28,169.85,54.0,44,1.0,8.01,2019-10-21 03:41:34
41,Sambava,MG,-14.27,50.17,67.19,85,0.0,3.0,2019-10-21 03:41:35
42,Lasa,CY,34.92,32.53,66.2,63,0.2,9.17,2019-10-21 03:41:35
43,Bad Ragaz,CH,47.0,9.5,61.0,82,0.9,4.7,2019-10-21 03:41:35
44,Sinnai,IT,39.3,9.2,73.4,88,0.4,13.87,2019-10-21 03:41:35
45,Pacifica,US,37.61,-122.49,63.0,77,0.01,18.34,2019-10-21 03:41:36
46,Bambous Virieux,MU,-20.34,57.76,73.99,88,0.9,11.41,2019-10-21 03:41:36
47,Rawson,AR,-43.3,-65.11,66.27,18,0.67,17.29,2019-10-21 03:41:37
48,Vaini,IN,15.34,74.49,73.4,94,0.75,2.24,2019-10-21 03:41:37
49,Takoradi,GH,4.89,-1.75,73.49,96,0.99,1.68,2019-10-21 03:41:37
50,Georgetown,GY,6.8,-58.16,75.2,100,0.4,4.7,2019-10-21 03:41:38
51,Zabaykalsk,CN,49.64,117.33,36.75,32,0.0,24.32,2019-10-21 03:41:38
52,Lamu,CN,35.77,102.37,47.3,56,0.63,1.59,2019-10-21 03:41:38
53,Rikitea,PF,-23.12,-134.97,70.39,73,0.94,15.19,2019-10-21 03:41:38
54,Tuktoyaktuk,CA,69.44,-133.03,19.4,85,0.4,8.05,2019-10-21 03:41:39
